trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.1, 'e': 0.9999944507104269}",30,14,-50.9245606126485,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.9999940951}",20,0,-182.4120276680512,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
82,False,"{'a': 0.1, 'e': 0.9999937214882013}",20,3,-62.470443182974904,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.999993329200083}",20,0,-184.41411796631905,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.1, 'e': 0.999992917544033}",25,0,-104.59388243745917,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.9999924858115717}",20,0,-114.51272112270944,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
86,False,"{'a': 0.1, 'e': 0.9999920332771495}",25,0,-180.4455344796814,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9999915591979424}",20,0,-117.81512832530288,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
88,False,"{'a': 0.1, 'e': 0.9999910628136497}",20,0,-102.26160745636201,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.9999905433462903}",20,0,-107.02446216929759,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.99999}",25,0,-65.26739902852394,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.9999894319608275}",35,0,-121.39485518713951,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",1
92,False,"{'a': 0.1, 'e': 0.9999888383965317}",25,0,-63.2420225664047,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9999882184563786}",30,0,-125.24399969631297,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.9999875712709377}",20,6,-68.63095699044763,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
95,False,"{'a': 0.1, 'e': 0.999986895951879}",20,0,-127.51982584640906,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.1, 'e': 0.9999861915917696}",20,0,-145.03148084195377,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
97,False,"{'a': 0.1, 'e': 0.9999854572638707}",30,0,-199.2843789956444,"{0: 17, 1: 3, 2: 3, 3: 5, 4: 2}",0
98,False,"{'a': 0.1, 'e': 0.9999846920219343}",35,0,-78.17870635625066,"{0: 23, 1: 4, 2: 8, 3: 0, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.9999838949}",20,0,-163.54327348866178,"{0: 7, 1: 0, 2: 11, 3: 1, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.9999830649121916}",25,0,-111.72948881382082,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.1, 'e': 0.999982201052514}",20,0,-121.0872892325884,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.9999813022946502}",35,0,-172.978231651769,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
103,False,"{'a': 0.1, 'e': 0.9999803675917577}",25,0,-78.48748126711293,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
104,False,"{'a': 0.1, 'e': 0.9999793958762655}",25,0,-224.82335207112686,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
105,False,"{'a': 0.1, 'e': 0.9999783860596708}",35,11,-48.832658970446886,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.9999773370323358}",20,0,-22.552388029199925,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
